Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s]
SD7037_DOE,2300,0.0761999999999999,1,0.018,0.009,6,1,1.3064,0.9057699468243622,0.7075436227642622,12.865027904510498
SD7037_DOE,2300,0.0761999999999999,2,0.008,0.004,10,4,1.5764,1.782544553307754,0.9002831866349085,12.864327907562256
SD7037_DOE,2300,0.0761999999999999,2,0.008,0.004,6,1,1.5764,3.2561574079621565,0.4681435262847663,12.964879274368286
SD7037_DOE,2300,0.0761999999999999,2,0.018,0.009,10,4,1.5764,1.0133923480156228,1.2173980451328723,12.902980089187622
SD7037_DOE,2300,0.0761999999999999,2,0.018,0.009,6,1,1.5764,1.7287489692985094,0.6049325386275435,12.903138399124146
SD7037_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.4024528950064477,2.230584851708462,17.04843521118164
SD7037_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.6474547891302281,1.268865476470293,17.033897638320923
SD7037_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.26368156419124805,2.7791540053594774,19.37527894973755
SD7037_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.3814781333457543,1.585340442860149,17.115634202957153
SD7037_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.7220187301939495,1.9874347801979955,17.195577383041382
SD7037_DOE,2300,0.1016,2,0.008,0.004,6,1,1.5764,1.2118132453469364,1.0990762556437588,17.27895712852478
SD7037_DOE,2300,0.1016,2,0.018,0.009,10,4,1.5764,0.44231243000502407,2.589660133017199,19.22207736968994
SD7037_DOE,2300,0.1016,2,0.018,0.009,6,1,1.5764,0.6790088543123697,1.4199784573654894,16.851334810256958
SD7037_DOE,3600,0.0761999999999999,1,0.008,0.004,10,4,1.2164,0.5928845964237821,1.168427586102865,12.723020792007446
SD7037_DOE,3600,0.0761999999999999,1,0.008,0.004,6,1,1.2164,1.024994551735688,0.6302953307837486,12.867012023925781
SD7037_DOE,3600,0.0761999999999999,1,0.018,0.009,10,4,1.2164,0.3674223763202168,1.491705614334194,12.853991270065308
SD7037_DOE,3600,0.0761999999999999,1,0.018,0.009,6,1,1.2164,0.5771225551134207,0.7831748174820666,12.81425166130066
