Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s],1.5,
SD7062_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.539275885,1.521487001,17.1627264,0.539275885,
SD7062_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.260529445,3.087089137,19.07854366,0.260529445,
SD7062_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.350324077,2.16347183,17.16443586,0.350324077,
SD7062_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.643440815,2.105491102,17.07277131,0.643440815,
SD7062_DOE,2300,0.1016,2,0.008,0.004,6,1,1.5764,0.99514593,1.330395626,17.1004343,0,
SD7062_DOE,2300,0.1016,2,0.018,0.009,10,4,1.5764,0.435919298,2.881460861,19.16666293,0.435919298,
SD7062_DOE,2300,0.1016,2,0.018,0.009,6,1,1.5764,0.616702208,1.952138571,17.16861153,0.616702208,
SD7062_DOE,3600,0.0762,1,0.008,0.004,10,4,1.2164,0.532120987,1.240419657,12.89817715,0,
SD7062_DOE,3600,0.0762,1,0.008,0.004,6,1,1.2164,0.823670293,0.781224165,13.10872602,0,
SD7062_DOE,3600,0.0762,1,0.018,0.009,10,4,1.2164,0.428108104,1.864922274,12.85639691,0.428108104,
SD7062_DOE,3600,0.0762,1,0.018,0.009,6,1,1.2164,0.715708798,1.257130777,12.86721158,0,
SD7062_DOE,3600,0.0762,2,0.008,0.004,10,4,1.3964,0.981108418,1.140733334,12.837219,0,
SD7062_DOE,3600,0.0762,2,0.008,0.004,6,1,1.3964,1.564611484,0.704304013,12.83938789,0,
SD7062_DOE,3600,0.0762,2,0.018,0.009,10,4,1.3964,0.772619101,1.739693111,12.88796067,0.772619101,
SD7062_DOE,3600,0.0762,2,0.018,0.009,6,1,1.3964,1.348603001,1.139467258,12.8368814,0,
SD7062_DOE,3600,0.1016,1,0.008,0.004,10,4,1.2164,0.260029639,2.399862855,19.45212102,0.260029639,
SD7062_DOE,3600,0.1016,1,0.008,0.004,6,1,1.2164,0.362119247,1.626222986,17.06144547,0.362119247,
SD7062_DOE,3600,0.1016,1,0.018,0.009,10,4,1.2164,0.200976334,3.008125975,19.07845855,0.200976334,
SD7062_DOE,3600,0.1016,1,0.018,0.009,6,1,1.2164,0.252293425,2.20698578,19.15447712,0.252293425,
SD7062_DOE,3600,0.1016,2,0.008,0.004,10,4,1.3964,0.435287841,2.353805304,17.07222795,0.435287841,
SD7062_DOE,3600,0.1016,2,0.008,0.004,6,1,1.3964,0.641100945,1.536562127,16.99600172,0.641100945,
SD7062_DOE,3600,0.1016,2,0.018,0.009,10,4,1.3964,0.314430114,3.086477482,19.11170101,0.314430114,
SD7062_DOE,3600,0.1016,2,0.018,0.009,6,1,1.3964,0.419614108,2.173985639,16.97206593,0.419614108,
SD7062_DOE,3800,0.0762,1,0.008,0.004,10,4,1.1726,0.720801886,0.867625524,12.85896182,0,
SD7062_DOE,3800,0.0762,1,0.008,0.004,6,1,1.1726,1.16284199,0.531575346,12.78736234,0,
SD7062_DOE,3800,0.0762,1,0.018,0.009,10,4,1.1726,0.56366003,1.329389487,12.82015562,0,
SD7062_DOE,3800,0.0762,1,0.018,0.009,6,1,1.1726,0.999638126,0.861542791,12.86230373,0,
SD7062_DOE,3800,0.0762,2,0.008,0.004,10,4,1.3076,1.360600546,0.808631789,12.85214806,0,
